id,id2,.metric,.estimator,.estimate,.config,model,response,VNIR_only,normalization,derivative,dataset
Repeat1,Fold1,accuracy,binary,0.95,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,roc_auc,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,accuracy,binary,0.95,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,roc_auc,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,accuracy,binary,0.95,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,roc_auc,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,accuracy,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,roc_auc,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,accuracy,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,roc_auc,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,accuracy,binary,0.95,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,roc_auc,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,accuracy,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,roc_auc,binary,1,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,accuracy,binary,0.95,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
