rep,row,bay,plot_id_fe,treatment,pad,experiment,id_with_controls,type
1,buffer,1,240,Buffer,NA,VarxFung,Buffer,NA
1,1,1,228,No fungicide,50,VarxFung,CVR020,Cultivar
1,2,1,216,No fungicide,10,VarxFung,Genesis090,Cultivar
1,3,1,204,No fungicide,20,VarxFung,CVR022,Cultivar
1,4,1,192,No fungicide,20,VarxFung,CVR481,Cultivar
1,5,1,180,No fungicide,75,VarxFung,Howzat,Cultivar
1,6,1,168,No fungicide,5,VarxFung,CVR021,Cultivar
1,7,1,156,No fungicide,50,VarxFung,CVR478,Cultivar
1,8,1,144,No fungicide,10,VarxFung,CVR479,Cultivar
1,9,1,132,No fungicide,30,VarxFung,CVR482,Cultivar
1,buffer,1,120,Buffer,NA,VarxFung,Buffer,NA
1,buffer,2,239,Buffer,NA,VarxFung,Buffer,NA
1,1,2,227,FN Chlorothalonil,0,VarxFung,CVR022,Cultivar
1,2,2,215,FN Chlorothalonil,0,VarxFung,CVR481,Cultivar
1,3,2,203,FN Chlorothalonil,0,VarxFung,CVR482,Cultivar
1,4,2,191,FN Chlorothalonil,0,VarxFung,CVR021,Cultivar
1,5,2,179,FN Chlorothalonil,0,VarxFung,CVR478,Cultivar
1,6,2,167,FN Chlorothalonil,0,VarxFung,CVR479,Cultivar
1,7,2,155,FN Chlorothalonil,0,VarxFung,Howzat,Cultivar
1,8,2,143,FN Chlorothalonil,0,VarxFung,CVR020,Cultivar
1,9,2,131,FN Chlorothalonil,0,VarxFung,Genesis090,Cultivar
1,buffer,2,119,NA,NA,VarxFung,Buffer,NA
1,buffer,3,238,NA,NA,VarxFung,Buffer,NA
1,1,3,226,Strat. Veritas,10,VarxFung,CVR022,Cultivar
1,2,3,214,Strat. Veritas,5,VarxFung,Genesis090,Cultivar
1,3,3,202,Strat. Veritas,40,VarxFung,CVR478,Cultivar
1,4,3,190,Strat. Veritas,5,VarxFung,CVR479,Cultivar
1,5,3,178,Strat. Veritas,50,VarxFung,Howzat,Cultivar
1,6,3,166,Strat. Veritas,15,VarxFung,CVR481,Cultivar
1,7,3,154,Strat. Veritas,10,VarxFung,CVR482,Cultivar
1,8,3,142,Strat. Veritas,3,VarxFung,CVR021,Cultivar
1,9,3,130,Strat. Veritas,8,VarxFung,CVR020,Cultivar
1,buffer,3,118,Buffer,NA,VarxFung,Buffer,NA
2,buffer,4,237,Buffer,NA,VarxFung,Buffer,NA
2,1,4,225,FN Chlorothalonil,0,VarxFung,CVR482,Cultivar
2,2,4,213,FN Chlorothalonil,0,VarxFung,Howzat,Cultivar
2,3,4,201,FN Chlorothalonil,0,VarxFung,CVR022,Cultivar
2,4,4,189,FN Chlorothalonil,0,VarxFung,CVR478,Cultivar
2,5,4,177,FN Chlorothalonil,0,VarxFung,CVR481,Cultivar
2,6,4,165,FN Chlorothalonil,0,VarxFung,Genesis090,Cultivar
2,7,4,153,FN Chlorothalonil,0,VarxFung,CVR021,Cultivar
2,8,4,141,FN Chlorothalonil,0,VarxFung,CVR020,Cultivar
2,9,4,129,FN Chlorothalonil,0,VarxFung,CVR479,Cultivar
2,buffer,4,117,Buffer,NA,VarxFung,Buffer,NA
2,buffer,5,236,Buffer,NA,VarxFung,Buffer,NA
2,1,5,224,Strat. Veritas,10,VarxFung,CVR478,Cultivar
2,2,5,212,Strat. Veritas,5,VarxFung,CVR020,Cultivar
2,3,5,200,Strat. Veritas,2,VarxFung,Genesis090,Cultivar
2,4,5,188,Strat. Veritas,5,VarxFung,CVR021,Cultivar
2,5,5,176,Strat. Veritas,10,VarxFung,CVR481,Cultivar
2,6,5,164,Strat. Veritas,15,VarxFung,CVR482,Cultivar
2,7,5,152,Strat. Veritas,2,VarxFung,CVR479,Cultivar
2,8,5,140,Strat. Veritas,5,VarxFung,CVR022,Cultivar
2,9,5,128,Strat. Veritas,40,VarxFung,Howzat,Cultivar
2,buffer,5,116,Buffer,NA,VarxFung,Buffer,NA
2,buffer,6,235,Buffer,NA,VarxFung,Buffer,NA
2,1,6,223,No fungicide,30,VarxFung,CVR481,Cultivar
2,2,6,211,No fungicide,50,VarxFung,CVR482,Cultivar
2,3,6,199,No fungicide,75,VarxFung,CVR020,Cultivar
2,4,6,187,No fungicide,25,VarxFung,CVR021,Cultivar
2,5,6,175,No fungicide,30,VarxFung,CVR022,Cultivar
2,6,6,163,No fungicide,80,VarxFung,Howzat,Cultivar
2,7,6,151,No fungicide,15,VarxFung,Genesis090,Cultivar
2,8,6,139,No fungicide,80,VarxFung,CVR478,Cultivar
2,9,6,127,No fungicide,20,VarxFung,CVR479,Cultivar
2,buffer,6,115,Buffer,NA,VarxFung,Buffer,NA
3,buffer,7,234,Buffer,NA,VarxFung,Buffer,NA
3,1,7,222,Strat. Veritas,10,VarxFung,CVR481,Cultivar
3,2,7,210,Strat. Veritas,5,VarxFung,CVR479,Cultivar
3,3,7,198,Strat. Veritas,5,VarxFung,Genesis090,Cultivar
3,4,7,186,Strat. Veritas,20,VarxFung,CVR482,Cultivar
3,5,7,174,Strat. Veritas,20,VarxFung,CVR020,Cultivar
3,6,7,162,Strat. Veritas,70,VarxFung,CVR478,Cultivar
3,7,7,150,Strat. Veritas,60,VarxFung,Howzat,Cultivar
3,8,7,138,Strat. Veritas,2,VarxFung,CVR021,Cultivar
3,9,7,126,Strat. Veritas,5,VarxFung,CVR022,Cultivar
3,buffer,7,114,Buffer,NA,VarxFung,Buffer,NA
3,buffer,8,233,Buffer,NA,VarxFung,Buffer,NA
3,1,8,221,No fungicide,25,VarxFung,CVR481,Cultivar
