id,id2,.metric,.estimator,.estimate,.config,model,response,VNIR_only,nil_only,normalization,derivative,dataset
Repeat1,Fold1,rmse,standard,9.234029240409301,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rsq,standard,0.9643988979610745,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rmse,standard,21.455429005993206,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,rmse,standard,14.433317647079187,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rmse,standard,45.065241802358344,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rsq,standard,NA,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rmse,standard,23.167274254666385,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rsq,standard,NA,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,rmse,standard,53.39369192882626,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,rsq,standard,1.4367815912165867e-4,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rmse,standard,30.2404501071845,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rmse,standard,16.94147041316948,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rmse,standard,22.885336888657836,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rsq,standard,0.9999999999999998,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rmse,standard,27.218065749861466,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rmse,standard,35.84484670486764,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rsq,standard,0.17187839175117242,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rmse,standard,10.105483571423042,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold3,rmse,standard,66.76229577018111,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold3,rsq,standard,NA,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rmse,standard,15.781465677872355,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rsq,standard,0.9999999999999998,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rmse,standard,9.48928576562272,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,rmse,standard,83.69112218677513,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,rsq,standard,0.9385603297001174,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,rmse,standard,8.429311977686638,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rmse,standard,26.4097881466538,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rmse,standard,28.46950127027744,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rsq,standard,0.9999999999999998,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rmse,standard,9.48928576562272,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,rmse,standard,30.026573483075634,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,rsq,standard,0.08634229147759956,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rmse,standard,28.46950127027744,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rsq,standard,0.9999999999999998,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rmse,standard,13.920176393921441,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rmse,standard,43.72984623271464,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rmse,standard,24.384651345637053,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rmse,standard,41.705493802532544,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rsq,standard,0.8044876452613187,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rmse,standard,24.60890374527788,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rmse,standard,54.099641409684565,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rsq,standard,NA,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rmse,standard,59.62650190941646,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rsq,standard,NA,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rmse,standard,42.25661009607481,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rmse,standard,31.218243253079677,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rsq,standard,0.9999999999999998,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rmse,standard,27.332505644992775,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rmse,standard,39.141834841695086,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rmse,standard,44.659916370556296,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rsq,standard,0.7158686903680872,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rmse,standard,44.010617721646256,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rmse,standard,31.606126500707973,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rmse,standard,23.700269986058426,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rmse,standard,33.21143425635301,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rmse,standard,52.72168598037417,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rmse,standard,23.700269986058426,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rmse,standard,52.72168598037417,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rmse,standard,52.1216039865624,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rsq,standard,0.9999999999999996,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rmse,standard,56.177828874364366,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rmse,standard,24.972215765164204,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rsq,standard,0.9999999999999998,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rmse,standard,15.375124209157732,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rsq,standard,0.9909348309576755,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rmse,standard,20.00117153907975,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rsq,standard,1,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,rmse,standard,39.554693615177364,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
